Season,Team,Pos,PA,Depth (ft.),Angle
2017,STL,3,756,109,36
2018,NYY,3,1173,106,34
2018,NYY,9,4,288,26
2018,STL,3,81,112,35
2019,NYY,3,2962,107,35
2020,NYY,3,1572,112,35
2021,NYY,3,1425,110,36
2022,WSH,3,946,107,35
2022,SD,3,401,110,36
