,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,568,500,55,113,22,69,1,.226,.308,.402,.710
6 Seasons,1838,1612,242,410,95,272,1,.254,.342,.476,.818
