Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2017,,20.7,4,3.1,1,5,4,0,0.0
2018,,21.7,15,12.2,3,5,10,4,26.7
2019,,23.8,21,17.6,3,7,12,8,38.1
2020,,24.5,23,21.2,2,2,10,13,56.5
2021,,24.2,11,11.8,-1,7,7,5,45.5
2022,,24.4,22,22.4,0,8,19,7,31.8
Player,,23.7,96,88.3,8,34,62,37,38.5
