,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2017,STL,NL,62,124,114,18,28,9,0,4,18,7,31,0,0,3,.246,.306,.430,.736
,2018,STL,NL,8,13,11,2,2,0,0,1,3,2,4,0,0,0,.182,.308,.455,.763
,2018,NYY,AL,39,148,132,28,44,5,0,14,33,15,39,0,0,1,.333,.405,.689,1.094
,2018,2 Teams,,47,161,143,30,46,5,0,15,36,17,43,0,0,1,.322,.398,.671,1.069
,2019,NYY,AL,118,510,429,72,113,21,1,21,62,71,142,0,0,9,.263,.378,.464,.842
,2020,NYY,AL,56,234,213,41,59,5,0,22,52,17,54,0,0,3,.277,.338,.610,.948
,2021,NYY,AL,68,241,213,26,51,7,1,11,35,21,74,0,0,7,.239,.328,.437,.765
,2022,SD,NL,82,344,298,38,67,18,0,13,48,39,110,1,1,3,.225,.317,.416,.733
,2022,WSH,NL,53,224,202,17,46,4,0,9,21,16,69,0,0,4,.228,.295,.381,.676
,2022,2 Teams,,135,568,500,55,113,22,0,22,69,55,179,1,1,7,.226,.308,.402,.710
,6 Seasons,4 Teams,,486,1838,1612,242,410,69,2,95,272,188,523,1,1,30,.254,.342,.476,.818
