PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
Scherzer,7.0,5,0,0,2,6,0,2.09
"Peterson, D(BS, 1)",0.1,1,2,2,1,1,1,3.54
"Lugo(W, 2-2)",1.2,1,0,0,0,3,0,3.49
,9.0,7,2,2,3,10,1,
