BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BuxtonCF,4,3,4,2,0,0,0,.344,1.244
GarlickLF,0,0,0,0,0,0,0,.167,.584
Arraez3B,5,0,4,3,0,0,0,.364,.906
CorreaSS,2,1,0,0,2,1,2,.192,.576
a-CelestinoPH-CF,1,0,0,0,0,0,2,.111,.384
Polanco2B,5,1,1,1,0,1,2,.200,.682
KeplerRF,4,0,1,0,1,1,2,.191,.598
LarnachDH,5,0,1,2,0,3,3,.250,.630
Sanó1B,5,0,0,0,0,3,4,.068,.344
JeffersC,3,3,2,1,1,1,0,.194,.626
GordonLF-SS,4,1,1,0,0,1,2,.261,.694
,38,9,14,9,4,11,17,,
