PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Bundy(W, 3-0)",5.0,4,0,0,0,4,0,0.59
Stashak,2.0,1,1,1,0,3,1,5.79
Coulombe,1.0,1,1,1,2,1,0,2.08
Thielbar,1.0,1,0,0,0,3,0,13.50
,9.0,7,2,2,2,11,1,
