PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Quantrill(W, 14-5)",6.0,5,1,1,3,4,1,3.49
"Hentges(H, 8)",1.0,1,0,0,0,0,0,2.41
"Stephan(H, 18)",1.0,0,0,0,0,1,0,2.69
"Clase(S, 39)",1.0,1,1,1,0,0,1,1.46
,9.0,7,2,2,3,5,2,
