PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Quantrill(L, 0-2)",5.0,4,3,3,1,3,1,5.40
Morgan,1.0,2,1,1,0,2,0,2.70
Morris,2.0,0,0,0,0,3,0,0.00
Plesac,1.0,0,0,0,0,2,0,0.00
,9.0,6,4,4,1,10,1,
