PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
Blackburn,5.0,5,3,3,2,7,2,3.12
"Oller(H, 1)",1.1,0,2,1,3,0,0,9.41
"Puk(L, 1-1)(BS, 2)",0.0,1,3,2,0,0,0,2.73
Pruitt,0.2,2,1,1,0,0,0,5.14
Snead,1.0,0,0,0,1,0,0,7.90
,8.0,8,9,7,6,7,2,
