PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Montgomery,6.2,6,5,5,1,6,0,3.27
"Abreu, A(W, 1-0)",2.1,0,0,0,1,4,0,2.76
,9.0,6,5,5,2,10,0,
