PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
Kopech,6.0,2,1,0,2,7,0,0.93
"Kelly, J(H, 1)",1.0,2,0,0,0,1,0,0.00
Foster,1.0,2,1,1,0,2,0,1.23
Banks,0.2,2,4,1,1,1,1,1.23
"Hendriks(BS, 2)",0.1,2,2,2,0,0,1,4.61
"López, R",1.0,1,1,0,0,0,0,3.86
"Burr(L, 0-1)",1.0,1,3,2,1,0,1,6.75
,11.0,12,12,4,4,11,3,
