PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Lodolo(L, 3-4)",4.2,7,4,4,4,6,0,4.72
"Farmer, B",1.1,1,0,0,0,1,0,5.25
Kuhnel,1.0,0,0,0,0,0,0,5.60
"Díaz, A",1.0,1,0,0,0,3,0,1.90
Strickland,1.0,1,0,0,1,2,0,5.74
,9.0,10,4,4,5,12,0,
