PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Smyly(W, 5-6)",5.0,4,0,0,2,9,0,3.69
Rucker,1.0,3,2,2,1,0,0,4.70
"Hughes(H, 2)",2.0,0,0,0,0,3,0,3.12
"Wick(S, 7)",1.0,0,0,0,0,2,0,3.94
,9.0,7,2,2,3,14,0,
