BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
India2B,1,0,0,0,0,1,2,.243,.693
"Reynolds, M2B",3,0,2,2,0,1,0,.255,.678
SenzelCF,4,0,0,0,0,2,3,.244,.612
PapierskiC,0,0,0,0,0,0,0,.135,.414
"Farmer, K3B",4,0,1,0,0,1,2,.257,.701
Votto1B,3,0,0,0,1,1,4,.217,.726
SolanoDH,4,0,2,0,0,1,2,.304,.797
Almora Jr.LF-CF,3,0,0,0,1,1,3,.230,.635
AquinoRF,4,0,1,0,0,2,0,.184,.516
BarreroSS,4,1,1,0,0,3,2,.207,.655
RomineC,2,0,0,0,0,1,2,.182,.422
a-FraleyPH-LF,1,1,0,0,1,0,0,.206,.663
,33,2,7,2,3,14,20,,
