BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MendickSS,4,1,0,0,1,2,2,.272,.758
VaughnDH,4,0,0,0,1,0,3,.315,.841
Robert Jr.CF,4,1,2,1,0,1,1,.294,.741
"Abreu, J1B",4,0,0,0,0,0,3,.263,.802
PollockLF,3,1,2,1,1,0,0,.261,.701
Burger3B,3,0,0,1,0,2,2,.257,.780
McGuireC,3,0,1,0,1,1,1,.239,.589
Harrison2B,3,0,0,0,1,0,5,.208,.583
HaseleyRF,4,0,1,0,0,3,3,.214,.527
,32,3,6,3,5,9,20,,
