BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,5,0,0,0,0,0,3,.267,.773
SwansonSS,5,1,0,0,0,0,2,.276,.763
"Harris II, MCF",5,0,1,0,0,1,1,.305,.875
Riley3B,3,0,0,0,1,0,0,.275,.881
Olson1B,3,1,2,1,1,1,2,.236,.782
d'ArnaudC,4,0,0,0,0,1,2,.270,.801
"Rosario, ELF",4,0,2,0,0,1,1,.219,.612
Arcia2B,3,0,0,0,1,1,3,.238,.733
GrossmanDH,2,0,0,0,0,1,1,.207,.615
"a-Contreras, WmPH-DH",2,0,1,0,0,0,1,.279,.868
1-HerediaPR-DH,0,0,0,0,0,0,0,.127,.505
,36,2,6,1,3,6,16,,
