BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LRF",4,1,0,0,1,0,4,.246,.717
AbramsSS,5,1,3,1,0,0,0,.243,.603
Meneses1B,4,0,0,0,0,1,3,.320,.921
VoitDH,3,0,1,2,0,0,0,.232,.727
"García, L2B",3,0,0,0,1,0,1,.272,.693
"Vargas, I3B",4,0,0,0,0,0,2,.266,.708
CallLF,4,1,1,0,0,2,0,.235,.728
RoblesCF,3,0,0,0,0,0,1,.228,.595
AdamsC,2,0,0,0,1,0,0,.176,.543
a-HernándezPH,0,0,0,0,1,0,0,.245,.624
,32,3,5,3,4,3,11,,
