PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Oviedo(W, 3-2)",5.0,1,0,0,2,4,0,3.34
"Thompson, Z.R.",2.2,4,1,1,1,1,0,5.20
Banuelos,1.1,0,0,0,0,1,0,3.44
,9.0,5,1,1,3,6,0,
