PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Pineda(W, 2-3)",5.0,5,2,2,2,2,1,3.62
"Lange(H, 11)",1.0,1,0,0,0,2,0,2.01
"Fulmer(H, 15)",1.0,1,0,0,1,1,0,2.03
Chafin,1.0,0,0,0,0,0,0,2.55
Vest,1.0,1,0,0,0,0,0,3.30
,9.0,8,2,2,3,5,1,
