PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Bieber(L, 3-5)",5.2,7,5,5,3,6,0,3.44
Morgan,0.1,0,0,0,0,0,0,2.65
Karinchak,1.0,1,2,2,1,0,0,13.50
Clase,1.0,1,1,1,0,2,1,1.53
,8.0,9,8,8,4,8,1,
