Season,Team,Pos,PA,Depth (ft.),Angle
2018,NYY,4,3818,153,13
2018,NYY,6,644,147,-12
2019,NYY,4,2282,150,13
2019,NYY,6,2750,146,-11
2020,NYY,6,1356,146,-10
2021,NYY,4,713,149,13
2021,NYY,6,3797,145,-12
2022,NYY,4,4397,154,12
2022,NYY,6,74,147,-16
