PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Gausman(W, 8-8)",8.0,1,0,0,1,10,0,3.06
"Romano(S, 25)",1.0,1,1,1,0,1,1,2.50
,9.0,2,1,1,1,11,1,
