PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
McCullers Jr.,6.0,2,2,2,4,11,0,2.34
"Martinez, S(W, 1-1)",1.0,0,0,0,0,2,0,2.09
"Smith, W.M.(H, 15)",0.2,1,0,0,0,0,0,3.78
"Neris(H, 25)",0.1,0,0,0,0,1,0,3.41
"Montero(S, 13)",1.0,0,0,0,0,2,0,2.37
,9.0,3,2,2,4,16,0,
