PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
Kaprielian,6.0,5,2,2,4,4,0,4.70
"Payamps(L, 3-6)",0.1,2,2,2,0,0,1,3.29
Moll,0.0,2,1,1,0,0,0,2.91
"Ruiz, N",1.2,0,0,0,0,2,0,6.92
,8.0,9,5,5,4,6,1,
