PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Musgrove,6.0,6,2,2,3,8,0,1.38
"Wilson, S",0.1,1,1,1,1,0,0,3.38
"Hill, T(W, 1-0)",0.2,0,0,0,0,1,0,0.00
"Suarez, R(H, 3)",1.0,0,0,0,0,1,0,0.00
"Hader(S, 3)",1.0,0,0,0,0,3,0,0.00
,9.0,7,3,3,4,13,0,
