BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hayes3B,5,1,1,0,0,2,1,.251,.674
"Reynolds, BDH",1,1,0,0,2,0,0,.259,.806
Chavis2B-1B,4,0,1,2,0,0,1,.245,.714
Tsutsugo1B,4,0,1,0,0,2,2,.185,.539
1-VanMeterPR-2B,0,0,0,0,0,0,0,.200,.590
"Castillo, DSS",3,1,2,1,1,0,0,.201,.620
SuwinskiCF,4,0,0,0,0,1,4,.218,.771
MadrisLF,4,0,0,0,0,2,2,.259,.693
GamelRF,4,1,1,0,0,2,0,.260,.734
DelayC,4,0,1,1,0,2,0,.167,.619
,33,4,7,4,3,11,10,,
