PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Minor(L, 1-6)",6.1,5,4,4,2,8,1,6.63
Cessa,0.1,0,0,0,1,0,0,6.68
Gibaut,1.1,2,0,0,0,1,0,0.00
Solomon,1.0,0,0,0,0,2,0,10.80
,9.0,7,4,4,3,11,1,
