BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,3,0,0,1,0,2,1,.000,.000
Hoskins1B,4,0,0,0,0,1,2,.000,.000
RealmutoC,2,0,0,0,2,0,0,.167,.542
HarperDH,4,1,2,1,0,1,1,.286,1.089
"Castellanos, NRF",4,0,0,0,0,1,2,.000,.125
Bohm3B,2,1,1,0,2,0,0,.400,1.425
"1-Sosa, EPR-3B",0,0,0,0,0,0,0,.000,.000
MarshCF,3,0,1,0,0,1,1,.400,1.000
Segura2B,1,0,0,0,0,0,0,.200,.533
StottSS,2,0,0,0,1,1,1,.000,.429
,25,2,4,2,5,7,8,,
