BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,5,0,2,0,0,2,4,.270,.760
SwansonSS,3,0,0,0,2,2,2,.290,.803
Riley3B,5,0,1,0,0,1,4,.296,.940
Olson1B,5,1,1,1,0,2,4,.248,.821
"Contreras, WmDH",4,1,1,0,0,1,2,.260,.868
GrossmanLF,4,1,2,0,0,1,0,.208,.603
Grissom2B,4,1,0,0,0,1,4,.273,.909
"Harris II, MCF",3,1,1,1,1,1,1,.294,.837
TrompC,4,0,3,3,0,0,1,.750,2.000
,37,5,11,5,3,11,22,,
