PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Luzardo(L, 3-5)",5.0,7,4,4,2,6,1,3.72
Brigham,2.0,2,0,0,1,3,0,3.72
Bleier,1.0,2,1,1,0,0,0,3.93
"Hernandez, E",1.0,0,0,0,0,2,0,6.11
,9.0,11,5,5,3,11,1,
