BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Berti2B-LF,4,0,0,0,0,0,2,.269,.732
"Rojas, MSS",4,1,1,0,0,1,0,.232,.615
Cooper1B,4,0,1,0,0,1,1,.273,.767
AguilarDH,3,1,1,2,1,0,0,.239,.681
BledayCF,3,0,0,0,1,1,2,.217,.690
FortesC,4,0,0,0,0,1,1,.241,.718
Leblanc3B,3,0,1,0,0,0,0,.405,.990
BurdickRF,2,0,0,0,1,2,0,.231,.733
"Williams, LLF",2,0,0,0,0,1,3,.253,.643
a-WendlePH-2B,1,0,1,0,0,0,0,.265,.669
,30,2,5,2,3,7,9,,
