Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,TOR,AL,1B,17,15,134.0,125,113,10,2,11,,.984
2018,TOR,AL,DH,3,2,0.0,0,0,0,0,0,,.000
2019,TOR,AL,1B,57,57,483.0,494,451,41,2,40,,.996
2019,TOR,AL,DH,45,44,0.0,0,0,0,0,0,,.000
2020,TOR,AL,1B,19,18,152.2,136,132,4,0,15,,1.000
2020,TOR,AL,DH,11,11,0.0,0,0,0,0,0,,.000
2021,TOR,AL,1B,19,15,132.1,128,122,4,2,9,,.984
2021,TOR,AL,DH,19,19,0.0,0,0,0,0,0,,.000
2021,MIL,NL,1B,46,42,353.0,334,313,17,4,31,,.988
2021,2 Teams,,1B,65,57,485.1,462,435,21,6,40,,.987
2022,MIL,NL,1B,139,126,1144.0,1029,946,81,2,86,,.998
2022,MIL,NL,DH,9,9,0.0,0,0,0,0,0,,.000
5 Seasons,2 Teams,,1B,297,273,2399.0,2246,2077,157,12,192,,.995
,2 Teams,,DH,87,85,0.0,0,0,0,0,0,,.000
