 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2018,,88,16.6,23.9%,1.1%,36,23.8,0.0%,13.9%
2019,,473,18.2,16.9%,3.4%,252,23.4,0.0%,17.1%
2020,,114,19.8,6.1%,3.5%,77,23.4,0.0%,18.2%
2021,,354,19.6,8.5%,3.4%,213,24.7,0.9%,19.2%
2022,,770,19.0,10.8%,6.8%,433,24.9,1.2%,20.3%
