Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,23.9,4,4.6,-1,0,3,2,50.0
2019,,24.4,21,19.3,2,7,13,9,42.9
2020,,26.4,8,7.0,1,1,5,4,50.0
2021,,26.1,13,15.4,-2,7,13,6,46.2
2022,,26.9,35,30.3,5,9,27,12,34.3
Player,,26.0,81,76.6,4,24,61,33,40.7
