 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2018,,73,268,0,5,1,1,7
2019,,406,"1,603",-9,-13,6,7,-9
2020,,127,446,4,0,3,2,9
2021,,331,"1,301",4,-14,6,5,1
2022,,590,"2,392",-4,-8,12,9,9
