Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2018,L,73,27,37.0,.504,.202
2019,L,406,264,65.0,.300,.312
2020,L,125,75,60.0,.315,.401
2021,L,298,206,69.1,.332,.291
2022,L,588,461,78.4,.338,.319
