PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Brash(W, 1-1)",5.1,2,2,2,6,5,1,3.38
Sewald,0.2,0,0,0,0,2,0,0.00
Steckenrider,1.0,0,0,0,1,1,0,0.00
"Muñoz, A",1.0,1,0,0,0,1,0,4.50
Castillo. D,1.0,1,0,0,0,1,0,2.25
,9.0,4,2,2,7,10,1,
