PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"White, M",4.0,5,3,3,2,3,1,4.25
Vesia,1.0,1,0,0,0,1,0,3.18
Price,1.0,1,0,0,1,2,0,3.57
"Phillips, E",1.0,0,0,0,0,1,0,1.88
"Graterol(L, 2-3)",1.0,2,2,2,0,1,1,4.13
,8.0,9,5,5,3,8,2,
