BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Rengifo3B,4,0,2,0,0,0,1,.259,.693
OhtaniDH,4,0,2,0,0,0,2,.258,.834
WardCF,4,0,1,0,0,1,5,.286,.872
StassiC,4,0,0,0,0,2,5,.203,.628
AdellRF,4,0,0,0,0,2,4,.240,.649
MacKinnon1B,4,0,0,0,0,2,0,.189,.468
MarshLF,4,1,1,1,0,2,0,.225,.630
Stefanic2B,4,0,0,0,0,1,0,.206,.560
"Velazquez, ASS",3,0,1,0,0,0,0,.171,.478
,35,1,7,1,0,10,17,,
