PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Urías, J(W, 8-6)",7.0,5,1,1,0,8,1,2.89
Ferguson,1.0,2,0,0,0,0,0,0.00
Bickford,1.0,0,0,0,0,2,0,5.04
,9.0,7,1,1,0,10,1,
