BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,1,1,0,0,0,0,.268,.766
"Marte, SRF",4,1,0,0,0,0,2,.273,.756
LindorSS,4,1,2,4,0,0,0,.246,.750
Alonso1B,4,0,0,0,0,2,1,.278,.900
Guillorme2B,4,0,0,0,0,3,1,.324,.787
CanhaLF,4,1,1,1,0,1,1,.286,.775
Escobar3B,3,0,0,0,0,0,0,.228,.676
"Smith, DoDH",3,0,1,0,0,0,0,.202,.571
NidoC,3,1,1,0,0,1,1,.221,.503
,33,5,6,5,0,7,6,,
