PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Alcantara, S(L, 7-3)",7.0,6,5,4,0,4,2,1.95
Floro,1.0,0,0,0,0,0,0,5.06
Yacabonis,1.0,0,0,0,0,3,0,2.08
,9.0,6,5,4,0,7,2,
