BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,5,0,0,0,0,2,0,.269,.767
SwansonSS,5,0,0,0,0,3,0,.279,.772
Riley3B,1,2,0,0,2,0,0,.278,.888
"Harris II, MCF",4,1,1,0,0,2,2,.305,.877
Olson1B,2,1,1,3,1,1,0,.234,.775
"Contreras, WmC",1,0,0,0,2,0,1,.275,.862
"Rosario, ELF",4,1,1,0,0,0,3,.214,.602
OzunaDH,4,2,2,2,0,0,2,.224,.678
Arcia2B,4,1,1,2,0,0,0,.242,.729
,30,8,6,7,5,8,8,,
