BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rojas, MSS",3,0,0,0,1,0,1,.235,.624
Wendle2B,4,0,0,0,0,0,2,.261,.663
AguilarDH,4,0,1,0,0,0,1,.241,.678
De La CruzRF,4,0,2,0,0,1,0,.212,.600
BledayCF,4,0,0,0,0,0,2,.204,.577
FortesC,3,0,0,0,0,1,0,.260,.784
Leblanc3B,3,0,1,0,0,1,0,.391,1.069
"Díaz, L1B",2,0,0,0,0,1,0,.175,.467
a-CooperPH-1B,1,0,0,0,0,0,1,.274,.763
BurdickLF,3,0,1,0,0,1,0,.167,.453
,31,0,5,0,1,5,7,,
