BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OrtegaCF,4,1,1,0,0,1,0,.239,.685
ContrerasDH,4,0,1,1,0,2,0,.253,.836
"Suzuki, SRF",4,0,0,0,0,1,1,.248,.742
HappLF,3,1,2,0,1,0,0,.277,.791
HoernerSS,4,0,3,1,0,0,1,.298,.756
Schwindel1B,3,0,0,0,1,2,3,.230,.640
HigginsC,3,1,2,1,1,1,2,.287,.894
McKinstry3B,3,0,0,0,0,2,4,.040,.303
b-WisdomPH-3B,1,0,0,0,0,0,1,.221,.768
Morel2B,2,1,1,0,0,0,0,.259,.781
a-MadrigalPH-2B,2,0,0,0,0,0,1,.226,.522
,33,4,10,3,3,9,13,,
