PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Smyly(W, 4-6)",6.2,5,0,0,1,4,0,3.97
Leiter Jr.,2.1,0,0,0,0,1,0,4.53
,9.0,5,0,0,1,5,0,
