 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2017,14,30,46.7,-1,0.7,0.4,-0.9,0.3,34.1
2018,18,43,41.9,-5,0.1,-0.8,-0.6,-1.3,32.5
2019,10,13,76.9,2,0.6,0.3,0.1,0.9,34.1
2020,9,25,36,-1,1.2,0,-0.5,0.5,33.2
2021,16,42,38.1,-4,0.3,-0.6,-0.3,-0.6,31.8
2022,42,81,51.9,3,1,-0.6,-0.8,-0.5,33.1
