,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2017,CHC,NL,115,413,364,62,92,17,3,24,68,39,129,8,4,4,.253,.328,.514,.842
,2018,CHC,NL,142,462,387,56,90,19,2,15,44,70,167,8,4,3,.233,.353,.408,.761
,2019,CHC,NL,58,156,140,25,37,7,1,11,30,15,39,2,0,0,.264,.333,.564,.897
,2020,CHC,NL,57,231,198,27,51,11,1,12,28,30,63,1,3,2,.258,.361,.505,.866
,2021,CHC,NL,148,535,465,63,105,20,1,25,66,62,156,9,2,5,.226,.323,.434,.757
*,2022,CHC,NL,158,641,573,72,155,42,2,17,72,58,149,9,4,6,.271,.342,.440,.782
,6 Seasons,CHC,NL,678,2438,2127,305,530,116,10,104,308,274,703,37,17,20,.249,.339,.460,.799
