Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2017,-1,,0,0,-2,-1,1,-1,1,0,86,85,-1
2018,-6,,-1,-2,0,-3,2,-1,-4,-3,88,85,-3
2019,2,,0,0,0,0,0,1,1,2,86,92,6
2020,0,,1,-1,-1,0,-1,1,1,1,85,85,0
2021,-4,,-1,-1,0,-3,1,-1,-1,-1,89,88,-1
2022,2,,-1,2,1,3,2,1,-3,0,85,86,1
