 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,69,93.2,89.2,3,--,--,--,--,--,--,--,24,--,--,--,42,--
2021,184,89.3,85.6,--,--,--,--,--,--,--,--,25,--,28,--,131,86.3
2022,356,95.2,87.7,--,--,--,--,1,--,--,--,4,--,8,--,343,87.7
