Season,Team,Pos,PA,Depth (ft.),Angle
2018,LAA,5,1397,109,-32
2019,LAA,7,265,294,-24
2019,LAA,5,103,111,-33
2020,LAA,3,8,116,35
2020,LAA,9,653,302,28
2020,LAA,7,313,292,-28
2021,LAA,9,1592,295,26
2021,LAA,8,253,322,0
2021,LAA,7,378,298,-26
2022,LAA,5,9,122,-28
2022,LAA,9,4476,290,26
2022,LAA,8,208,320,0
2022,LAA,7,48,295,-25
