Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,332",58.0,308,263,80,55,12,1,12,52,212,.304,.292,.494,.531,.392,.402,91.7,13,18.3,14.7
2022,Breaking,766,33.3,198,182,44,28,8,0,8,55,131,.242,.232,.418,.394,.301,.296,87.2,19,29.1,21.4
2022,Offspeed,199,8.7,58,50,15,9,2,1,3,13,37,.300,.272,.560,.462,.410,.367,90.2,17,23.7,18.1
2021,Fastballs,473,54.1,120,105,26,13,8,0,5,24,83,.248,.269,.467,.465,.340,.350,87.1,18,16.5,19.5
2021,Breaking,300,34.3,83,74,21,11,7,0,3,25,50,.284,.257,.500,.497,.366,.356,87.9,17,35.0,25.8
2021,Offspeed,101,11.6,34,29,5,5,0,0,0,6,23,.172,.226,.172,.297,.232,.295,83.9,6,34.0,17.6
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
