,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,564,495,73,139,23,65,5,.281,.360,.473,.833
5 Seasons,1098,974,140,249,38,120,10,.256,.333,.431,.764
