PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Darvish,6.0,4,2,2,3,5,1,2.88
"Suarez, R(L, 0-1)(BS, 1)",2.0,2,2,2,1,3,1,3.00
,8.0,6,4,4,4,8,2,
