BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Castro, WRF",4,0,0,0,0,2,1,.255,.618
Schoop2B,3,0,0,0,0,1,0,.196,.568
"Castro, H1B",3,0,0,0,0,0,0,.294,.801
"Cabrera, MDH",3,0,1,0,0,2,0,.288,.710
"Báez, JSS",3,0,0,0,0,3,1,.190,.522
Candelario3B,3,0,0,0,0,1,1,.182,.557
ClemensLF,3,0,0,0,0,0,1,.000,.077
BarnhartC,3,0,0,0,0,1,0,.226,.510
"Hill, DCF",1,0,0,0,1,1,0,.240,.591
a-TorkelsonPH,1,0,0,0,0,1,0,.197,.620
,27,0,1,0,1,12,4,,
