BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JudgeCF,3,1,1,1,1,0,0,.316,1.075
Donaldson3B,3,0,0,1,0,2,0,.228,.739
Rizzo1B,4,1,1,1,0,1,2,.214,.804
StantonDH,4,0,1,0,0,2,2,.284,.860
Torres2B,2,0,0,0,1,0,1,.247,.769
GalloRF,3,0,0,0,0,3,1,.173,.577
Kiner-FalefaSS,3,0,0,0,0,1,0,.267,.630
HigashiokaC,2,1,0,0,1,0,0,.154,.410
"Hicks, ALF",3,0,1,0,0,0,0,.220,.596
,27,3,4,3,3,9,6,,
