BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,4,1,1,1,0,0,0,.147,.422
SeagerSS,4,0,0,1,0,1,0,.294,.763
"García, AdCF",4,0,0,0,0,2,0,.138,.527
"Lowe, N1B",4,0,3,0,0,0,0,.375,.850
"Calhoun, WDH",4,0,0,0,0,1,3,.125,.708
HeimC,4,0,0,0,0,1,2,.400,1.271
CalhounRF,3,0,1,0,0,2,0,.143,.360
SolakLF,3,0,0,0,0,0,2,.286,.912
Ibáñez3B,3,1,1,0,0,1,0,.241,.517
,33,2,6,2,0,8,7,,
