BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OhtaniDH,5,3,2,3,0,1,2,.231,.763
TroutCF,5,1,1,0,0,1,3,.250,.918
Rendon3B,3,0,1,1,1,0,0,.185,.599
WardRF,3,1,2,1,2,1,1,.667,2.467
StassiC,5,0,1,2,0,2,3,.238,.762
AdellLF,5,0,1,0,0,1,5,.192,.692
Duffy1B,3,0,0,0,0,1,0,.308,.746
a-WalshPH-1B,2,0,2,0,0,0,0,.355,.942
"Velazquez, ASS",4,2,0,0,1,1,3,.143,.464
Wade2B,4,0,2,0,0,1,1,.333,.722
,39,7,12,7,4,9,18,,
