PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Manaea(W, 3-3)",7.0,3,2,1,3,3,0,3.52
Crismatt,2.0,2,0,0,0,2,0,1.67
,9.0,5,2,1,3,5,0,
