BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,2,0,0,0,1,2,0,.263,.766
LeeCF,1,0,0,0,0,0,0,.000,.000
CanhaRF,4,0,0,0,0,1,1,.295,.748
LindorSS,3,0,0,0,0,0,0,.250,.758
Mazeika1B,1,0,1,0,0,0,0,.190,.542
"Davis, J1B-3B",3,1,1,0,1,1,0,.245,.688
Escobar3B-2B,4,1,1,0,0,0,2,.243,.725
McNeilLF,4,0,2,1,0,0,2,.314,.811
Guillorme2B-SS,3,0,0,0,1,0,4,.320,.815
NidoC,3,0,0,0,0,0,1,.253,.571
PlummerDH,3,0,0,0,0,1,1,.222,.874
,31,2,5,1,3,5,11,,
