BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",5,1,1,0,0,0,3,.246,.678
"Báez, JSS",3,1,1,2,0,1,0,.218,.637
Clemens1B,1,0,0,0,0,0,0,.143,.516
GrossmanLF,5,0,1,1,0,0,3,.205,.588
"Cabrera, MDH",2,2,1,1,2,1,1,.284,.681
a-BaddooPH-DH,1,0,1,0,0,0,0,.137,.384
HaaseC,5,1,2,4,0,1,2,.249,.758
Schoop2B,3,1,0,0,1,1,1,.207,.547
Candelario3B,4,2,3,3,0,0,0,.203,.621
"Castro, H1B-SS",4,2,1,0,0,0,1,.283,.728
"Castro, WRF",4,2,2,0,0,1,1,.249,.622
,37,12,13,11,3,5,12,,
