PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Manaea(L, 5-5)",3.1,8,9,4,1,4,2,4.33
Gore,1.1,1,2,2,2,1,1,4.50
"Wilson, S",1.1,2,1,1,0,0,1,4.20
"Hill, T",1.0,1,0,0,0,0,0,3.86
Crismatt,1.0,1,0,0,0,0,0,2.60
,8.0,13,12,7,3,5,4,
