PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
Hutchison,4.1,6,4,4,2,4,1,4.84
"Vest(W, 2-2)",1.2,1,0,0,0,2,0,3.41
"Jiménez, J",1.0,1,0,0,0,0,0,3.13
Chafin,1.0,1,0,0,0,2,0,2.64
Foley,1.0,1,0,0,0,0,0,2.97
,9.0,10,4,4,2,8,1,
